Match,Vendor Name,Category,Type,Sub-Type,Country
SPECTRUM,SPECTRUM,Business,Internet,(empty),US
SPLASHTOP.COM,SPLASHTOP.COM,Business,Software & Subscriptions,(empty),US
STARBUCKS,STARBUCKS,Household,Dining Out,(empty),
STATE OF CALIF DMV,STATE OF CALIF DMV,(empty),Fees,(empty),US
RCSS OXFORD,Superstore,Household,Groceries,(empty),Canada
THE PIPING KETTLE SOUP,THE PIPING KETTLE SOUP,Household,Dining Out,(empty),Canada
TIM HORTONS,TIM HORTONS,Household,Dining Out,(empty),Canada
TOSSABLE DIGITS TOSSAB,TOSSABLE DIGITS,Business,Phone,(empty),US
TOTAL WINE COM 931,TOTAL WINE COM 931,Household,Groceries,(empty),
TOYS R US,TOYS R US,Household,Supplies,(empty),
Transferwise,TransferWise,(empty),(empty),(empty),
VENMO,Venmo,Business,(empty),(empty),US
CASHOUT,Venmo,Business,Income,(empty),
VENMO CASHOUT,Venmo,Business,Income,(empty),US
Venmo,Venmo,Business,(empty),(empty),US
WAL-MART,Walmart,Household,Supplies,(empty),Canada
Walmart.com,Walmart,Household,Supplies,(empty),Canada
WINNERS,WINNERS,Household,Supplies,(empty),Canada
WIRE TYPE:WIRE IN DATE,WIRE,(empty),Fees,(empty),
Wire Transfer Fee,Wire Transfer Fee,(empty),Fees,(empty),
TRANSFER FEE REFUND,WIRE TRANSFER FEE REFUND,(empty),Fees,Refund,
QuickPay with Zelle payment,Zelle,(empty),(empty),(empty),US
QuickPay with Zelle payment to Megan Todd,Zelle,(empty),Transfer,(empty),US
Zelle,Zelle,(empty),(empty),(empty),US
